Album,Year,Album No.,Title,Fine Score,AI Score,Audio,BPM,Chord Progression,Degree Progression,Lyrics,Single Guitar,Rhythm Guitar,Lead Guitar,Bass,Drum
石の糸,2025,1,Noise,,,,,,,,,,,,
石の糸,2025,2,太陽を目指してる,,,,,,,,,,,,
石の糸,2025,3,僕と夕陽,,,,,,,,,,,,
石の糸,2025,4,日の出,,,,,,,,,,,,
石の糸,2025,5,ラッキー,,,,,,,,,,,,
石の糸,2025,6,さびしくない,,,,,,,,,,,,
石の糸,2025,7,難しい,,,,,,,,,,,,
石の糸,2025,8,Waltz,,,,,,,,,,,,
石の糸,2025,9,石と蝶,,,,,,,,,,,,
石の糸,2025,10,水の中,,,,,,,,,,,,
タオルケットは穏やかな,2023,1,わたしたちへ,,,,,,,,,,,,
タオルケットは穏やかな,2023,2,やさしいギター,,,,,,,,,,,,
タオルケットは穏やかな,2023,3,季節の果物,,,,,,,,,,,,
タオルケットは穏やかな,2023,4,眠れない,,,,,,,,,,,,
タオルケットは穏やかな,2023,5,予感,,,,,,,,,,,,
タオルケットは穏やかな,2023,6,気分,,,,,,,,,,,,
タオルケットは穏やかな,2023,7,月明かり,,,,,,,,,,,,
タオルケットは穏やかな,2023,8,こんな日に限って,,,,,,,,,,,,
タオルケットは穏やかな,2023,9,タオルケットは穏やかな,,,,,,,,,,,,
タオルケットは穏やかな,2023,10,もしも,,,,,,,,,,,,
よすが,2021,1,抱擁,,,,,,,,,,,,
よすが,2021,2,孤独と祈り,,,,,,,,,,,,
よすが,2021,3,手紙,,,,,,,,,,,,
よすが,2021,4,星占いと朝,,,,,,,,,,,,
よすが,2021,5,栄えた街の,,,,,,,,,,,,
よすが,2021,6,閃きは彼方,,,,,,,,,,,,
よすが,2021,7,春の夜へ,,,,,,,,,,,,
よすが,2021,8,窓辺,,,,,,,,,,,,
よすが,2021,9,腕の中でしか眠れない猫のように,,,,,,,,,,,,
よすが,2021,10,爛漫,,,,,,,,,,,,
よすが,2021,11,追憶,,,,,,,,,,,,
燦々,2019,1,花ひらくまで,,,,,,,,,,,,
